Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	20.21	50	100	50	23.73	11.22	13.28	11.64	11.97	14.79	0	11.24	10.09	9.18	0
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	13.12	0	10.78	0	14	14.84	11.25	14.82	12.75	16.05	0	13.28	11.64	13.76	14.04
28	9.56	0	10.65	0	13.96	11.75	9.16	9.19	11.58	15.63	NA	NA	8.07	13.06	10.5
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	15.25	13.45	10.99	12.84	14.63	12.38	11.48	14.64	12.94	11.44	11.18	12.88	11.27	13.96	13.13
14	15.98	15.37	14.04	13.67	16.7	14.63	12.38	13.2	12.67	13.98	14.94	12.12	12.13	12.39	13.43
28	16.46	10.47	14.7	12.61	19.61	13.7	12.12	13.73	13.39	14.24	12.12	13.05	14.21	9.08	12.14
56	14.88	11.53	13.03	14.97	16.25	12.45	12.39	12.51	11.39	11.76	13.92	13.65	13.61	13.15	14.45
84	19.69	20.56	17.39	17.41	17.58	17.5	18.85	17.89	20.58	18.94	20.77	21.25	27.01	18.82	19.64
168	10.79	9.61	77.74	10.11	12.5	11.23	10.62	9.83	9.55	8.9	8.74	7.63	97.9	8.65	12.12
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	10.68	8.35	8.68	9.72	9.43	9.58	8.77	8.06	8.81	11.24	8.54	0	9.7	9.87	9.46
10	7.12	7.56	4.91	6.01	8.91	6.98	8.63	6.55	6.35	6.33	6.95	7.76	7.15	7.96	8.17
14	9.3	10.32	10.24	10.89	10.83	9.7	8.64	10.13	10.37	10.34	9.62	9.86	10.42	10.56	9.37
28	7.2	7.11	7.4	7.29	7.37	7.43	6.86	7.35	6.43	6.39	6.9	6.99	6.97	6.66	7.92
56	8.1	7.22	6.3	7.81	7.08	7.51	7.01	7.38	7.26	7.48	7.11	7.52	6.84	0	7.82
84	13.55	12.83	33.53	14.18	13.33	0	13.61	14.27	14.11	13.67	12.52	15.9	29.26	14.39	12.77
168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	7.73	9.28	6.9	7.29	8.78	0	7.8	8.76	9.47	11.99	6.28	10.33	8.92	9.26	9.16
10	9.19	10.18	9.5	9.74	12.03	7.54	10.39	8.52	10.21	10.1	10.06	12.64	12.08	9.9	7.81
14	9.12	8.87	8.31	10.21	10.47	11.18	7.71	8.37	7.43	12.1	7.29	9.56	8.16	9.16	7.6
28	11.31	12.38	11.83	30.49	13.88	11.2	11.28	11.23	10.15	0	15.85	13.24	10.61	10.71	16.43
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	100	8.82	99.89	7.9	11.1	NA	9.8	12.38	0	NA	0	NA	99.33	9.54	9.12
