Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	9.12	0	100	0	10.36	14.7	12.69	69	24.63	16.76	40	11.08	12.62	12.38	0
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	40.69	50	81.78	0	60.08	24.28	38.89	23.24	27.44	97.03	20	67.88	99.59	39.75	21.1
28	85.78	80	98.01	100	69.81	72.14	81.19	90.22	68.24	89.03	100	100	99.94	97.04	94.68
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	11.2	11.07	10.83	16.46	12.09	17.23	15.21	12.15	17.48	11.32	11.9	14.3	10.87	19.08	11.68
14	13.8	15.65	27.79	26.2	15.21	22.4	22.83	14.52	23	87.59	11.53	73.09	75.43	34.83	16.62
28	63.6	76	88.53	91.82	55.17	55.72	84.66	81.66	73.88	67.12	55.51	32.36	92.82	50.58	93.6
56	90.86	94.91	78.61	88.62	70.46	47	93.76	94.35	92.12	58.19	47.25	51.42	96.05	78.89	97.39
84	90.55	96.15	81.78	96.12	86.93	12.84	96.23	94.89	95.07	76.53	11.85	8.38	88.64	88.36	97.75
168	99.22	99.65	81.41	97.37	94.64	8.69	99.74	96.47	94.92	99.45	21.29	7.29	99.71	99.21	98.65
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	47.19	42.6	43.91	33.4	45.08	30.95	35.74	45.4	32.04	44.93	42.45	75	47.68	32.44	46.98
10	10.47	9.37	10.31	12.27	8.97	12.14	11.99	8.74	12.44	10.22	8.44	9.5	11.1	11.46	9.29
14	10.88	10.27	41.65	14.65	9.76	10.53	11.76	11.41	10.09	95.4	10.5	9.32	96.19	57.01	14.73
28	92.04	92.4	99.45	98	96.15	99.18	98.84	95.31	95.09	99.59	93.57	88.36	99.45	99.02	99.14
56	99.15	95.82	98.74	98.9	99.21	28.46	98.49	98.58	98.79	99.89	99.8	99.67	99.5	100	99.16
84	99.46	97.68	99.69	99.58	99.67	100	98.08	99.38	98.35	99.28	99.59	100	99.61	98.95	98.06
168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	44.49	45.13	46.31	33.59	44.54	0	32.26	42.38	29.37	44.93	46.4	45.3	100	29.41	42.44
10	60.29	21.53	20.53	22.22	22.76	22.32	28.95	17.9	27.03	67.33	40.81	21.95	17.98	25.5	38.1
14	12.33	13.79	15.29	16.51	12.54	15.6	16.11	14.16	20.13	62.12	13.02	13.07	62.28	18.69	13.86
28	69.75	51.46	100	52.81	60.62	67.88	91.91	81.08	38.42	68.68	90.22	63.91	99.33	61.33	88.18
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	46.84	99.71	99.87	99.92	99.9	NA	99.83	99.75	100	100	46.01	46.16	100	99.9	99.64
