Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	2.93	0	0	0	3.02	4.02	2.87	65.76	14.75	4.37	25	4.52	4.08	2.64	0
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	31.38	50	78.4	0	54.11	7.53	27.21	10.81	10.84	96.84	0	62.96	99.57	27.49	9.01
28	82.48	80	97.85	100	63.59	66.02	75.39	86.96	60.07	85.39	100	NA	99.94	96.33	93.11
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	2.93	2.16	3.21	3.27	3.71	3.02	1.76	4.04	3.59	3.06	3.08	4.82	2.71	5.23	4.21
14	3.08	4.77	16.73	11.73	3.61	4.41	6.39	3.68	3.94	84.88	2.07	68.87	72.3	19.95	7.04
28	56.81	70.74	86.05	90.36	46.95	46.17	81.9	76.95	69.18	59.74	48.58	20.55	90.88	42.03	91.71
56	85.68	91.86	69.02	82.99	56.79	26.96	90.87	91.66	89	44.28	21.18	23.79	93.52	71.23	95.43
84	90.15	95.94	80.79	96	85.82	9.19	96.07	94.12	94.91	75.29	7.09	3.84	88.2	87.85	97.62
168	99.2	99.64	80.21	97.24	94.39	3.81	99.75	96.25	94.68	99.41	17	2.91	99.7	99.24	98.53
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	1.82	4.24	2.98	1.78	1.92	2.49	1.71	2.58	1.27	2.77	2.27	50	2.8	2.47	2.16
10	1.99	1.43	2.37	2.64	1.54	1.83	2.61	1.46	2.02	2.02	0.81	1.57	2.6	1.63	1.65
14	2.27	3.61	33.87	8.17	2.51	3.5	4.95	2.9	4.18	94.06	2.08	2.38	95.21	50.09	7.2
28	82.31	82.06	98.62	95.39	91.29	97.99	97.21	90.72	88.54	99.18	84.7	73.12	98.68	98.36	97.99
56	98.61	93.65	98.31	98.19	98.81	3.12	98.09	97.82	97.95	99.86	99.76	99.6	99.31	100	98.66
84	99.1	97.26	99.54	99.25	99.58	NA	97.32	99.08	97.72	99.12	99.57	100	99.2	98.63	97.83
168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
															
Days	RCe8	RCo8	RDo8	REi9	RHk8	RIf8	RJj8	RJl9	RKb9	RNr8	ROu8	RUn8	RWi8	RWu8	RZz8
7	3.5	2.92	3.37	3.28	0.91	0	2.98	1.49	2.85	3.71	5.77	3.05	0	2.43	2.54
10	52.96	7	8.36	4.37	6.3	5.21	10.13	3.96	10.34	63.16	29.67	8.25	4.08	6.74	26.47
14	2.21	3.94	3.75	4.07	2	4.2	3.82	3.91	9.72	56.37	2.79	2.14	53.95	7.4	3.73
28	54.25	29.86	100	35.72	42.73	56.9	86.66	70.99	19.41	53.28	85	42.54	99.05	47.04	82.53
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	2.12	99.39	99.86	99.92	99.79	NA	99.48	99.61	100	0	3.02	2.3	100	99.9	99.62
